time;send_diff;receive_diff;;;
169179,0206;10,194139;10,194292;;;
169189,2145;10,194285;10,193976;;;
169199,409;10,194147;10,194445;;;
169209,6032;10,194195;10,194241;;;
169219,796;10,194089;10,192822;;;
169229,9942;10,193938;10,198185;;;
169240,1875;10,893059;10,193255;;;
169250,383;9,497346;10,195525;;;
169260,5774;10,194439;10,194433;;;
169270,7716;10,19413;10,194197;;;
169280,9677;10,194428;10,196054;;;
169291,1595;10,635887;10,191837;;;
169301,3549;9,752656;10,195329;;;
169311,5489;10,19417;10,194079;;;
169321,7448;10,194119;10,195844;;;
169331,9394;10,195948;10,194595;;;
169342,1327;10,389087;10,193296;;;
169352,3271;9,999409;10,194439;;;
169362,5217;10,194339;10,194557;;;
169372,7176;10,194427;10,195887;;;
169382,9111;10,194368;10,193505;;;
169393,1045;10,194138;10,193421;;;
169403,2989;10,194121;10,19439;;;
169413,4949;10,194197;10,196041;;;
169423,6897;10,195811;10,194745;;;
169433,8843;10,194184;10,194661;;;
169444,0788;10,19443;10,194454;;;
169454,275;10,194074;10,196224;;;
169464,4664;10,194217;10,191427;;;
169474,6789;10,194234;10,212465;;;
169484,8551;10,194268;10,176165;;;
169495,0513;10,194307;10,196199;;;
169505,2479;10,194219;10,196638;;;
169515,4409;10,195893;10,193048;;;
169525,635;10,194346;10,19408;;;
169535,8286;10,194379;10,19354;;;
169546,0241;10,194227;10,195574;;;
169556,218;10,194257;10,193862;;;
169566,412;10,19398;10,194049;;;
169576,6058;10,194707;10,193773;;;
169586,8003;10,194105;10,19448;;;
169596,9974;10,194214;10,197132;;;
169607,1911;10,888909;10,19371;;;
169617,3855;9,501574;10,194358;;;
169627,5798;10,194622;10,194324;;;
169637,7744;10,194172;10,194598;;;
169647,9693;10,194351;10,194829;;;
169658,1628;10,637581;10,19352;;;
169668,3572;9,751059;10,194454;;;
169678,5523;10,194027;10,195104;;;
169688,749;10,194176;10,196677;;;
169698,9427;10,195897;10,19368;;;
169709,1367;10,396561;10,194011;;;
169719,331;9,992405;10,194322;;;
169729,5275;10,194368;10,196472;;;
169739,7206;10,194295;10,193133;;;
169749,9164;10,194424;10,195809;;;
169760,1087;10,194401;10,1923;;;
169770,3061;10,194135;10,197322;;;
169780,5023;10,196818;10,196274;;;
169790,6968;10,19596;10,194507;;;
169800,892;10,194809;10,195158;;;
169811,0863;10,195571;10,19431;;;
169821,2814;10,194127;10,195045;;;
169831,4771;10,194658;10,195712;;;
169841,6892;10,19414;10,212119;;;
169851,8664;10,194225;10,177213;;;
169862,0593;10,194207;10,192872;;;
169872,2557;10,194286;10,19644;;;
169882,4494;10,196046;10,193654;;;
169892,6428;10,194187;10,193468;;;
169902,838;10,194093;10,195196;;;
169913,0442;10,194139;10,206129;;;
169923,2263;10,194851;10,182105;;;
169933,4207;10,194179;10,194394;;;
169943,6145;10,19404;10,193878;;;
169953,8088;10,194119;10,194292;;;
169964,0058;10,194155;10,197018;;;
169974,2;10,943822;10,194115;;;
169984,3937;9,446576;10,193757;;;
169994,5881;10,194295;10,194354;;;
170004,7829;10,19418;10,194803;;;
170014,978;10,194387;10,195097;;;
170025,172;10,683512;10,194037;;;
170035,3874;9,704748;10,215429;;;
170045,5594;10,194159;10,171947;;;
170055,7573;10,194111;10,197962;;;
170065,9506;10,195897;10,193231;;;
170076,1437;10,435505;10,193129;;;
170086,3382;9,952803;10,194466;;;
170096,5333;10,194115;10,195148;;;
170106,7332;10,194376;10,199878;;;
170116,9245;10,194522;10,191319;;;
170127,1226;10,194294;10,198057;;;
170137,3097;10,194023;10,187083;;;
170147,5056;10,193963;10,195968;;;
170157,7039;10,195865;10,198302;;;
170167,8946;10,194234;10,190658;;;
170178,0892;10,194134;10,194627;;;
170188,2825;10,194123;10,193285;;;
170198,4837;10,19407;10,201232;;;
170208,6719;10,194195;10,18818;;;
170218,8654;10,194191;10,193467;;;
170229,0594;10,194137;10,194031;;;
170239,256;10,194458;10,196573;;;
170249,4543;10,196238;10,198295;;;
170259,6459;10,194253;10,191597;;;
170269,8702;10,194235;10,224325;;;
170280,0348;10,19432;10,164642;;;
170290,2307;10,194209;10,19582;;;
170300,423;10,194296;10,192385;;;
170310,6172;10,194308;10,194135;;;
170320,8106;10,19425;10,193464;;;
170331,0079;10,194215;10,19725;;;
170341,202;10,934793;10,194143;;;
170351,3974;9,455501;10,195367;;;
170361,5918;10,195328;10,194435;;;
170371,786;10,194378;10,194188;;;
170381,9797;10,194228;10,193638;;;
170392,1741;10,685155;10,194422;;;
170402,3817;9,703584;10,207666;;;
170412,5635;10,194125;10,181713;;;
170422,7595;10,194057;10,196045;;;
170432,9529;10,195937;10,193404;;;
170443,1486;10,439247;10,195707;;;
170453,3426;9,949116;10,193995;;;
170463,5365;10,194176;10,193878;;;
170473,7314;10,194231;10,194958;;;
170483,9245;10,194373;10,193039;;;
170494,1198;10,19425;10,195338;;;
170504,3144;10,194363;10,194585;;;
170514,5092;10,194149;10,194809;;;
170524,7036;10,196133;10,194403;;;
170534,8988;10,194129;10,195219;;;
170545,0939;10,194094;10,195097;;;
170555,2864;10,194259;10,192455;;;
170565,4815;10,194222;10,195104;;;
170575,7271;10,194178;10,245561;;;
170585,8706;10,194541;10,143576;;;
170596,0649;10,194149;10,194267;;;
170606,2612;10,194318;10,196263;;;
170616,4545;10,19602;10,193337;;;
170626,6491;10,194525;10,194595;;;
170636,8447;10,194272;10,195637;;;
170647,0386;10,194244;10,193883;;;
170657,2319;10,194317;10,193324;;;
170667,4262;10,194233;10,194212;;;
170677,6219;10,194334;10,195727;;;
170687,8157;10,194077;10,193847;;;
170698,0132;10,195896;10,197477;;;
170708,2064;10,956641;10,193193;;;
170718,4008;9,433113;10,194397;;;
170728,5958;10,194129;10,194986;;;
170738,7904;10,194126;10,194628;;;
170748,9838;10,194339;10,193367;;;
170759,1782;10,695633;10,194395;;;
170769,3731;9,693066;10,194969;;;
170779,5671;10,193877;10,193987;;;
170789,7604;10,193982;10,193295;;;
170799,9557;10,195107;10,195251;;;
170810,1522;10,442828;10,196492;;;
170820,3465;9,946532;10,194357;;;
170830,5408;10,194335;10,19429;;;
170840,7343;10,1943;10,193476;;;
170850,9289;10,194336;10,194631;;;
170861,1241;10,19474;10,195143;;;
170871,3186;10,194163;10,194492;;;
170881,516;10,194336;10,197437;;;
170891,7371;10,195895;10,221087;;;
170901,9022;10,194396;10,165107;;;
170912,0974;10,194056;10,195216;;;
170922,2982;10,194128;10,200843;;;
170932,4878;10,194171;10,189539;;;
170942,6926;10,194171;10,204866;;;
170952,8742;10,194849;10,181552;;;
